Date,Open,High,Low,Close,Volume,Turnover
2017/7/6,80.75,80.75,80.2,80.4,2492,200269
2017/7/7,80.25,80.25,79.8,79.95,3570,285400
2017/7/10,80,80.45,80,80.35,3550,284771
2017/7/11,80.7,81.55,80.55,81.55,4121,334796
2017/7/12,81.5,81.8,81.3,81.55,3948,322133
2017/7/13,81.95,82.4,81.75,82.2,3993,328059
2017/7/14,82,82.15,81.8,82.05,2282,187063
2017/7/17,82.5,82.55,82,82.2,2688,221106
2017/7/18,82.2,82.4,81.85,82.4,3278,269433
2017/7/19,82.35,83,82.35,82.7,7268,601076
2017/7/20,82.85,82.9,82.55,82.65,2021,167118
2017/7/21,82.6,82.6,82.05,82.1,4466,367035
2017/7/24,81.95,82.3,81.75,82.3,2364,194054
2017/7/25,82.3,82.5,82.1,82.45,2127,175014
2017/7/26,82.55,82.75,82.05,82.15,2357,194141
2017/7/27,82.2,83,82.2,83,2214,183279
2017/7/28,82.4,82.45,81.95,82.1,4402,361925
2017/7/31,81.45,81.5,81.05,81.35,2807,228312
2017/8/1,82.15,82.15,81.55,81.8,2642,216364
2017/8/2,82,82.65,82,82.5,5045,415944
2017/8/3,81.85,82.35,81.7,82.2,4029,330914
2017/8/4,82.15,82.35,82.05,82.35,1144,94090
2017/8/7,82.45,83,82.45,82.95,4109,340304
2017/8/8,83.05,83.25,82.55,82.9,2986,247503
2017/8/9,82.55,82.6,82.05,82.15,3122,256747
2017/8/10,82.35,82.45,81.35,81.6,3169,258729
2017/8/11,80.85,81.35,80.75,81.25,2747,222731
2017/8/14,81.45,81.6,80.75,80.75,2245,182057
2017/8/15,81.3,81.5,80.95,81.3,2709,220018
2017/8/16,81.15,81.25,80.6,81,6283,507697
2017/8/17,81.25,81.7,81.15,81.65,1969,160481
2017/8/18,81,81.15,80.65,81.15,2316,187446
2017/8/21,81.05,81.2,80.75,81.05,2050,166059
2017/8/22,81.45,81.9,81.45,81.85,3987,326026
2017/8/23,82,82.25,81.75,81.75,5505,451487
2017/8/24,81.85,82.55,81.85,82.55,3488,287290
2017/8/25,82.65,82.75,82.4,82.7,2615,216110
2017/8/28,82.7,82.8,82.4,82.55,2773,229033
2017/8/29,82.25,82.4,81.95,82.3,1229,100988
2017/8/30,82.65,82.9,82.6,82.7,4120,340949
2017/8/31,83.15,83.15,82.7,82.95,3284,272401
2017/9/1,82.95,83.2,82.65,83,4429,367699
2017/9/4,82.9,83.05,82.7,82.85,2596,215380
2017/9/5,82.9,83,82.65,82.95,2564,212298
2017/9/6,82.7,82.9,82.35,82.6,2891,239136
2017/9/7,82.8,82.85,82.2,82.25,1369,112962
2017/9/8,82.4,82.9,82.4,82.7,2842,235026
2017/9/11,83.25,83.35,82.5,82.55,1628,134841
2017/9/12,82.95,83.05,82.65,82.85,1394,115579
2017/9/13,82.9,83,82.25,82.3,2175,179337
2017/9/14,82.3,82.55,82.15,82.35,1750,144135
2017/9/15,82.35,82.5,82.1,82.35,1821,149836
2017/9/18,82.85,83.15,82.6,83.15,2693,223440
2017/9/19,83.2,83.3,82.65,82.75,1456,120871
2017/9/20,82.5,82.65,82.1,82.2,9964,818693
2017/9/21,82.05,82.8,81.95,82.7,1830,150729
2017/9/22,82.6,82.6,81.55,81.6,5606,458419
2017/9/25,81.55,81.55,80.75,80.95,7071,572822
2017/9/26,80.8,81.05,80.3,80.3,11752,947629
2017/9/27,80.6,80.9,80.55,80.7,6243,504136
2017/9/28,80.75,80.8,80.3,80.4,6899,555465
2017/9/29,80.45,80.65,80.3,80.65,3444,277187
2017/9/30,81,81.2,80.85,81.2,1585,128476
2017/10/2,81.25,81.6,81.25,81.5,3261,265640
2017/10/3,81.55,81.7,81.3,81.5,1578,128665
2017/10/5,81.5,82.1,81.5,81.85,6407,524400
2017/10/6,82.1,82.2,81.95,82.1,4127,338645
2017/10/11,82.45,83.4,82.45,83.4,15975,1328351
2017/10/12,83.55,84.2,83.55,84.2,8770,736349
2017/10/13,83.95,84.05,83.75,84.05,3596,301743
2017/10/16,84.05,84.5,84.05,84.5,4046,340973
2017/10/17,84.55,84.7,84.3,84.3,3234,273274
2017/10/18,84.8,85,84.3,84.6,4473,378301
2017/10/19,84.7,85.2,84.7,84.9,2447,208034
2017/10/20,84.4,84.85,84.4,84.55,1726,146032
2017/10/23,84.7,84.95,84.45,84.5,1772,149959
2017/10/24,84.5,84.5,84.2,84.4,1072,90505
2017/10/25,84.3,84.6,84.2,84.35,2417,203864
2017/10/26,84.15,84.4,84,84.25,3226,271833
2017/10/27,84.3,84.75,84.2,84.3,2141,180899
2017/10/30,85.1,85.35,84.8,84.95,3358,285709
2017/10/31,85,85.35,84.8,85.2,2131,181430
2017/11/1,85.35,85.4,84.95,85.1,1314,111897
2017/11/2,84.95,85.05,84.7,84.8,1563,132638
2017/11/3,84.95,85.05,84.6,84.7,1456,123452
2017/11/6,85.2,85.3,84.6,84.85,1573,133589
2017/11/7,85,85.3,84.85,85.3,2211,188229
2017/11/8,85.2,85.2,84.95,84.95,810,68868
2017/11/9,84.95,85.05,84.4,84.4,1258,106727
2017/11/10,84.3,84.55,83.95,84.55,923,77817
2017/11/13,84.25,84.4,84.2,84.3,979,82529
2017/11/14,84.3,84.3,83.95,84.15,1016,85431
2017/11/15,83.8,83.85,83.15,83.3,6070,506648
2017/11/16,83.3,83.75,83.2,83.6,2177,181765
2017/11/17,84.3,84.45,84.15,84.35,7196,606872
2017/11/20,84.4,84.45,83.9,84,2301,193526
2017/11/21,83.9,84.8,83.9,84.75,4470,376042
2017/11/22,85.15,85.6,84.9,85.15,4914,419446
2017/11/23,85.15,85.35,84.95,85.2,1552,132162
2017/11/24,85.25,85.3,84.95,85.15,1069,91012
2017/11/27,85.15,85.15,84.1,84.15,2127,179562
2017/11/28,83.95,84,83.5,83.6,2007,167971
2017/11/29,83.65,83.95,83.55,83.7,1382,115678
2017/11/30,83,83,82.25,82.25,8038,663634
2017/12/1,82.15,82.9,81.65,82.6,5620,462116
2017/12/4,82.65,82.95,82.35,82.9,1504,124232
2017/12/5,82.55,82.65,82.2,82.25,1880,154873
2017/12/6,82.1,82.1,80.85,80.85,13235,1076017
2017/12/7,81.2,81.25,80.45,80.9,7309,590253
2017/12/8,81.5,81.5,80.65,80.9,6280,507950
2017/12/11,81.2,81.65,81.2,81.5,2739,223183
2017/12/12,81.4,81.5,80.55,80.95,3941,318855
2017/12/13,81.1,81.2,80.9,81,1677,135829
2017/12/14,81.55,82,81.35,81.75,2246,183713
2017/12/15,81.65,81.65,80.65,81.1,4077,329950
2017/12/18,81.2,81.25,80.85,81.2,3843,311719
2017/12/19,81.2,81.4,80.7,80.8,4095,331846
2017/12/20,80.8,81.1,80.75,81.05,4652,376271
2017/12/21,81.1,81.35,81,81,1241,100664
2017/12/22,80.8,81.35,80.7,81.3,1645,133060
2017/12/25,81.3,81.55,81.3,81.45,1003,81627
2017/12/26,81.45,81.45,80.5,80.65,2578,208313
2017/12/27,80.6,80.9,80.55,80.9,3600,290733
2017/12/28,81.25,81.75,81.25,81.7,3095,252392
2017/12/29,81.75,82.2,81.75,82.15,4690,384768
2018/1/2,82.15,82.6,82.15,82.6,3613,298033
2018/1/3,82.95,83.45,82.95,83.35,7196,599476
2018/1/4,83.5,83.65,83.2,83.5,5628,469313
2018/1/5,83.5,83.8,83.3,83.75,7617,636769
2018/1/8,83.8,84.15,83.7,84.1,5190,435776
2018/1/9,84.1,84.25,83.9,84.15,3665,308058
2018/1/10,84.1,84.25,83.55,83.75,5750,482359
2018/1/11,83.65,83.7,83.1,83.4,2579,214868
2018/1/12,83.55,84.2,83.5,84.1,2871,241215
2018/1/15,84.55,84.7,84.4,84.65,2802,236982
2018/1/16,84.65,85,84.5,85,3956,335496
2018/1/17,84.65,85.45,84.65,85.15,5698,485174
2018/1/18,85.5,86.55,85.5,86.3,6899,594091
2018/1/19,86.35,87.15,86.35,87.15,5302,461040
2018/1/22,87.15,87.95,87.15,87.95,4441,389066
2018/1/23,88.05,88.4,87.9,88.3,5800,511406
2018/1/24,88,88,86.85,87.2,5103,444907
2018/1/25,87.25,88.3,87.15,87.45,4984,436968
2018/1/26,87.45,87.6,86.85,87.5,7775,678482
2018/1/29,85.5,86.15,85.2,85.55,6446,551351
2018/1/30,85.2,85.35,84.5,84.55,4966,421573
2018/1/31,84.4,85,84.15,84.65,4252,359041
2018/2/1,84.75,85.5,84.75,85.25,2915,248421
2018/2/2,84.85,85.15,84.35,84.9,3082,261095
2018/2/5,83.2,83.75,82.9,83.6,7076,588994
2018/2/6,80.85,81.1,78.8,79.65,32223,2574017
2018/2/7,81.35,81.4,80.6,80.65,10182,825540
2018/2/8,80.65,80.95,80.3,80.6,4515,363477
2018/2/9,78.6,79.2,78,79.05,16211,1271812
2018/2/12,79.55,79.9,79.4,79.7,8444,672978
2018/2/21,81.4,81.7,81.1,81.5,11646,948994
2018/2/22,81.5,81.5,80.75,81,3750,303822
2018/2/23,81.4,82.1,81.4,82,3579,292845
2018/2/26,82.55,82.8,82.35,82.4,3289,271560
2018/2/27,83.1,83.2,82.35,82.35,7664,634417
2018/3/1,81.55,81.95,81.15,81.75,4344,354596
2018/3/2,80.85,81.2,80.45,81.15,6262,505982
2018/3/5,81.1,81.5,80.65,80.75,3724,301898
2018/3/6,81.65,82.15,81.6,82.15,5532,452834
2018/3/7,81.75,82.45,81.7,81.8,2619,214899
2018/3/8,82.15,82.8,82.15,82.75,3233,266947
2018/3/9,82.9,83,82.7,82.85,2832,234740
2018/3/12,83.6,84.25,83.55,84.15,8752,735446
2018/3/13,84.35,84.95,84.3,84.95,9837,831704
2018/3/14,84.35,84.45,84,84.3,3416,287870
2018/3/15,84,84.3,83.9,84.25,3507,295015
2018/3/16,84,84.2,83.1,83.9,5511,460022
2018/3/19,83.65,84.1,83.45,83.85,2036,170676
2018/3/20,83.2,83.8,83.2,83.8,2895,241726
2018/3/21,83.8,84.1,83.6,83.85,4892,410077
2018/3/22,84,84.6,83.45,83.55,3430,288140
2018/3/23,81.85,82.4,81.8,82.1,8060,661353
2018/3/26,81.85,82.2,81.6,82.2,4369,357832
2018/3/27,83,83.4,82.95,83.4,3278,272572
2018/3/28,82.9,82.9,82.2,82.25,4161,343128
2018/3/29,82.25,82.35,81.8,82.1,4100,336214
2018/3/30,82.65,83.05,82.65,82.85,4973,412328
2018/3/31,82.85,83.05,82.75,82.95,878,72801
2018/4/2,82.85,82.95,82.15,82.25,3737,307814
2018/4/3,81.5,81.55,81.2,81.5,6188,503436
2018/4/9,82.15,82.3,81.6,82.2,3401,278923
2018/4/10,82.1,82.85,81.75,82.5,3860,318719
2018/4/11,82.9,83.1,82.75,82.85,2604,215930
2018/4/12,83.05,83.15,82.25,82.5,3592,296423
2018/4/13,82.7,82.8,82.3,82.5,2983,246304
2018/4/16,82.65,82.65,82,82.3,1809,148796
2018/4/17,82.4,82.4,81.35,81.4,4325,352876
2018/4/18,81.6,82.1,81.35,81.6,3740,305624
2018/4/19,81.9,82.65,81.9,82.65,4461,367817
2018/4/20,81,81.1,80.5,80.75,9018,728326
2018/4/23,80.25,80.45,79.9,79.95,10625,850770
2018/4/24,79.9,79.95,79.05,79.55,16868,1341876
2018/4/25,79.25,79.3,78.8,79.3,16461,1301833
2018/4/26,79.7,79.7,78.8,79.05,16486,1305125
2018/4/27,79.6,79.65,78.8,79.2,12396,979828
2018/4/30,79.65,80.15,79.05,80,6517,519421
2018/5/2,80.05,80.15,79.4,79.4,5513,439622
2018/5/3,79.05,79.05,78.35,78.55,8823,694073
2018/5/4,78.55,79,78.4,78.95,3475,273249
2018/5/7,79.5,79.55,78.8,79.5,3858,305849
2018/5/8,79.4,80.05,79.35,80,5352,427504
2018/5/9,80,80.55,80,80.45,3359,270071
2018/5/10,80.7,80.7,80.45,80.65,5977,481662
2018/5/11,81.1,81.7,81.05,81.6,17654,1436892
2018/5/14,82,82.6,81.9,82.5,17198,1414608
2018/5/15,82.35,82.4,81.65,81.65,7222,592066
2018/5/16,81.45,81.8,81.4,81.75,8294,677321
2018/5/17,81.95,82,81.2,81.2,1941,158111
2018/5/18,81.2,81.5,80.85,80.95,2361,191353
2018/5/21,81.2,82.1,81.2,82.05,3890,318673
2018/5/22,81.8,82.3,81.75,81.75,1837,150712
2018/5/23,81.9,82,81.3,81.35,2124,173329
2018/5/24,81.35,81.7,81.25,81.55,1135,92526
2018/5/25,81.55,82.05,81.4,81.85,3116,254972
2018/5/28,82.05,82.25,82,82.2,2940,241486
2018/5/29,82.2,82.2,81.5,81.85,1389,113428
2018/5/30,81.4,81.4,80.3,80.4,6178,497864
2018/5/31,80.8,80.95,80.55,80.75,1606,129629
2018/6/1,80.8,81.45,80.8,81.35,1849,150142
2018/6/4,81.8,82.6,81.8,82.6,7081,583108
2018/6/5,82.7,82.7,82.25,82.5,2696,222338
2018/6/6,82.65,83.35,82.65,83.3,6398,531456
2018/6/7,83.5,83.6,83,83.45,6704,557849
2018/6/8,83.3,83.3,82.5,82.55,3470,287811
2018/6/11,82.8,82.95,82.4,82.65,3264,269605
